sample_id	batch	condition
MCF10A	A00548_0100_DTremethick_JCSMR_HiC_Arima_1_4	WT
MCF10AHP1aKD	A00548_0100_DTremethick_JCSMR_HiC_Arima_1_4	HP1aKD
