Run,BioSample,Cell_type,Experiment,Sample Name,source_name,SRA Study,time_point,replicate
SRR6657555,SAMN08446090,ASCs on day 1 after neuronal induction,SRX3634735,GSM2973930,Human primary adipose stem cells,SRP131871,Day 1,rep1
SRR6657556,SAMN08446089,ASCs on day 1 after neuronal induction,SRX3634736,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2
SRR6657557,SAMN08446089,ASCs on day 1 after neuronal induction,SRX3634736,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2
SRR6657558,SAMN08446089,ASCs on day 1 after neuronal induction,SRX3634736,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2
SRR6657559,SAMN08446089,ASCs on day 1 after neuronal induction,SRX3634736,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2
SRR6657560,SAMN08446089,ASCs on day 1 after neuronal induction,SRX3634736,GSM2973931,Human primary adipose stem cells,SRP131871,Day 1,rep2
SRR6657561,SAMN08446088,ASCs on day 3 after adipogenic induction,SRX3634737,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1
SRR6657562,SAMN08446088,ASCs on day 3 after adipogenic induction,SRX3634737,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1
SRR6657563,SAMN08446088,ASCs on day 3 after adipogenic induction,SRX3634737,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1
SRR6657564,SAMN08446088,ASCs on day 3 after adipogenic induction,SRX3634737,GSM2973932,Human primary adipose stem cells,SRP131871,Day 3,rep1
SRR6657565,SAMN08446087,ASCs on day 3 after adipogenic induction,SRX3634738,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2
SRR6657567,SAMN08446087,ASCs on day 3 after adipogenic induction,SRX3634738,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2
SRR6657568,SAMN08446087,ASCs on day 3 after adipogenic induction,SRX3634738,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2
SRR6657566,SAMN08446087,ASCs on day 3 after adipogenic induction,SRX3634738,GSM2973933,Human primary adipose stem cells,SRP131871,Day 3,rep2
